[# ERROR | 2020-08-04 | 00:02:31.217 | PID=7080 | ThreadId=6988 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:31.311 | PID=7080 | ThreadId=6988 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:34.564 | PID=7080 | ThreadId=3308 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:34.637 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:34.752 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:34.845 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:34.938 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.047 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.141 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.251 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.345 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
[# ERROR | 2020-08-04 | 00:02:35.439 | PID=7080 | ThreadId=15212 | WinUtils::CreateMemoryMappingFile:731 | Failed to create memory mapping file [Code=5: Accès refusé.] #]
